,,,,,,,,
,"100K TODAY
,"El Economista y el Ingeniero - ¿Shitcoins = Ponzis?
 - Ended: May 16 2023 - Speakers: 22 - Duration: 3h 20m
",El Economista y el Ingeniero - ¿Shitcoins = Ponzis?,May 16 2023,22,3h 20m,374,REPLAY,https://x.com/i/spaces/1ynJOaROEbWKR
,"La Curadora, la Sacerdotisa y el Ingeniero - Eventos en CDMX
 - Ended: Jul 18 2023 - Speakers: 10 - Duration: 2h 30m
","La Curadora, la Sacerdotisa y el Ingeniero - Eventos en CDMX",Jul 18 2023,10,2h 30m,118,REPLAY,https://x.com/i/spaces/1yNGaNNAZqNJj
,"Previo al evento en Monterrey de @MarcusDantusNFT
 - Ended: Nov 22 2022 - Speakers: 11 - Duration: 1h 20m
",Previo al evento en Monterrey de @MarcusDantusNFT,Nov 22 2022,11,1h 20m,71,REPLAY,https://x.com/i/spaces/1yNGaNMeWYVJj
,"El economista y el ingeniero Ep03
 - Ended: Nov 17 2022 - Speakers: 7 - Duration: 1h 30m
",El economista y el ingeniero Ep03,Nov 17 2022,7,1h 30m,62,REPLAY,https://x.com/i/spaces/1yNGaNEgjVNJj
,"NFT Arte y artistas de piezas 1-1. Episodio 05 con @meximalist
 - Ended: Jul 29 2022 - Speakers: 7 - Duration: 2h 37m
",NFT Arte y artistas de piezas 1-1. Episodio 05 con @meximalist,Jul 29 2022,7,2h 37m,73,REPLAY,https://x.com/i/spaces/1vOxwyjNZyPGB
,"Conoce las iniciativas de @Nohbek_oficial y sus fundadoras
 - Ended: Nov 14 2023 - Speakers: 10 - Duration: 2h 06m
",Conoce las iniciativas de @Nohbek_oficial y sus fundadoras,Nov 14 2023,10,2h 06m,146,REPLAY,https://x.com/i/spaces/1vOxwjwYpEmJB
,"Banda Web3 - Nouns, Prop House y Nouns DAO Amigos
 - Ended: Jan 11 2024 - Speakers: 16 - Duration: 2h 11m
","Banda Web3 - Nouns, Prop House y Nouns DAO Amigos",Jan 11 2024,16,2h 11m,222,REPLAY,https://x.com/i/spaces/1vOxwjQjqZEJB
,"El primer examen On Chain del mundo - DEFI
 - Ended: Sep 19 2023 - Speakers: 7 - Duration: 1h 56m",El primer examen On Chain del mundo - DEFI,Sep 19 2023,7,1h 56m,108,REPLAY,https://x.com/i/spaces/1vAGRAQDMnDKl
,"El Contador, el Economista y el Ingeniero - Fed Chair Powell
 - Ended: Mar 7 2023 - Speakers: 6 - Duration: 1h 05m
","El Contador, el Economista y el Ingeniero - Fed Chair Powell",Mar 7 2023,6,1h 05m,64,REPLAY,https://x.com/i/spaces/1rmxPkPmRnMJN
,"La abogada, el economista y el ingeniero
 - Ended: Jan 19 2023 - Speakers: 8 - Duration: 1h 53m
","La abogada, el economista y el ingeniero",Jan 19 2023,8,1h 53m,88,REPLAY,https://x.com/i/spaces/1eaKbrXLknaKX
,"La Abogada, el Economista y el Ingeniero - ¿Faltan bancos por caer?
 - Ended: Mar 14 2023 - Speakers: 12 - Duration: 2h 12m
Financial servicesBusiness news","La Abogada, el Economista y el Ingeniero - ¿Faltan bancos por caer?",Mar 14 2023,12,2h 12m,229,REPLAY,https://x.com/i/spaces/1YqKDoRmoPvxV
,"La abogada, el economista y el ingeniero - Ley creadores de contenido
 - Ended: Jan 12 2023 - Speakers: 7 - Duration: 1h 35m
","La abogada, el economista y el ingeniero - Ley creadores de contenido",Jan 12 2023,7,1h 35m,87,REPLAY,https://x.com/i/spaces/1YqKDobEraDxV
,"Entrevista con el equipo de @IvoryInvestors
 - Ended: Dec 18 2021 - Speakers: 6 - Duration: 59m",Entrevista con el equipo de @IvoryInvestors,Dec 18 2021,6,59m,26,NADA,
,"Banda Web3 - Salud Mental con @MotusDao
 - Ended: Dec 19 2023 - Speakers: 9 - Duration: 2h 23m
",Banda Web3 - Salud Mental con @MotusDao,Dec 19 2023,9,2h 23m,240,REPLAY,https://x.com/i/spaces/1YqxoDbbAmvKv
,"El Spaces que necesitábamos Ep04 Colección @masmonos con @meximalist
 - Ended: Jul 7 2022 - Speakers: 16 - Duration: 2h 47m
",El Spaces que necesitábamos Ep04 Colección @masmonos con @meximalist,Jul 7 2022,16,2h 47m,153,REPLAY,https://x.com/i/spaces/1YqxoppqvEQKv
,"La Abogada, el Economista y el Ingeniero - Leyes en Europa
 - Ended: Apr 20 2023 - Speakers: 8 - Duration: 2h 21m
","La Abogada, el Economista y el Ingeniero - Leyes en Europa",Apr 20 2023,8,2h 21m,124,REPLAY,https://x.com/i/spaces/1ZkKzXNybMZJv
,"La abogada, el economista y el ingeniero Ep 05
 - Ended: Nov 24 2022 - Speakers: 6 - Duration: 1h 34m
","La abogada, el economista y el ingeniero Ep 05",Nov 24 2022,6,1h 34m,40,REPLAY,https://x.com/i/spaces/1ZkKzXQVvjNJv
,"@Meta_Pool - Gobernanza on-chain y Grants
 - Ended: Nov 16 2023 - Speakers: 4 - Duration: 1h 51m
",@Meta_Pool - Gobernanza on-chain y Grants,Nov 16 2023,4,1h 51m,147,REPLAY,https://x.com/i/spaces/1ZkKzjBykOWKv
,"La Abogada, el Economista y el Ingeniero - Historia del Dinero
 - Ended: Feb 16 2023 - Speakers: 6 - Duration: 1h 41m","La Abogada, el Economista y el Ingeniero - Historia del Dinero",Feb 16 2023,6,1h 41m,75,REPLAY,https://x.com/i/spaces/1dRJZMXMbqmGB
,"La Sacerdotisa, el Economista y el Inge - Rug Show Mx
 - Ended: Jun 6 2023 - Speakers: 2 - Duration: 2h 58m
","La Sacerdotisa, el Economista y el Inge - Rug Show Mx",Jun 6 2023,2,2h 58m,203,REPLAY,https://x.com/i/spaces/1dRKZMQPwZzxB
,"Banda Web3 - ICP Hub Latam, fomentando la educación con ICP
 - Ended: Jan 23 2024 - Speakers: 2 - Duration: 08m
","Banda Web3 - ICP Hub Latam, fomentando la educación con ICP",Jan 23 2024,2,08m,33,REPLAY,https://x.com/i/spaces/1djGXNkBjkvxZ
,"El Economista, el Looser y el Ingeniero - Noticias y Pre NFTNYC
 - Ended: Apr 11 2023 - Speakers: 13 - Duration: 2h 26m
","El Economista, el Looser y el Ingeniero - Noticias y Pre NFTNYC",Apr 11 2023,13,2h 26m,161,REPLAY,https://x.com/i/spaces/1djGXldQjDOGZ
,"Banda Web3 - Ataque a LEDGER 😭
 - Ended: Dec 14 2023 - Speakers: 13 - Duration: 1h 23m
",Banda Web3 - Ataque a LEDGER 😭,Dec 14 2023,13,1h 23m,168,REPLAY,https://x.com/i/spaces/1eaKbgDgNQvGX
,"Banda Web3 - Chismesito con @anaqueenmaker
 - Ended: Dec 5 2023 - Speakers: 5 - Duration: 1h 52m
",Banda Web3 - Chismesito con @anaqueenmaker,Dec 5 2023,5,1h 52m,161,REPLAY,https://x.com/i/spaces/1eaKbgDoNQvGX
